Район,Тип,Дата и время  пожара 
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-04-07 07:30:00
Кунгурский МО ,Аварии на электроэнергетических системах ,2015-04-07 08:30:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2015-04-07 08:35:00
ГО город Березники ,Аварии на электроэнергетических системах ,2015-04-09 21:45:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-10 10:20:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-10 17:53:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-11 08:00:00
Кунгурский МО ,Пожар с гибелью 2-х и более человек ,2015-04-11 09:46:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-04-11 12:40:00
Пермский ГО ,"Обнаружение неразорвавшихся боеприпасов, взрывчатых веществ ",2015-04-14 13:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-15 11:20:00
Краснокамский ГО ,Загрязнения окружающей среды ,2015-04-15 17:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2015-04-15 18:20:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-04-17 11:00:00
Чусовской ГО ,Пожар с гибелью 2-х и более человек ,2015-04-17 17:30:00
Юрлинский МО ,Половодье ,2015-04-18 08:00:00
Юсьвинский МО ,Пожар с гибелью 2-х и более человек ,2015-04-19 07:10:00
Очерский ГО ,Аварии на электроэнергетических системах ,2015-04-20 14:58:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-20 15:55:00
Пермский МО ,Аварии на электроэнергетических системах ,2015-04-20 16:55:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-04-20 19:20:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-04-21 09:30:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2015-04-21 12:00:00
Краснокамский ГО ,Аварии на электроэнергетических системах ,2015-04-21 16:05:00
Краснокамский ГО ,Аварии на электроэнергетических системах ,2015-04-21 21:40:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-22 10:30:00
ГО город Березники ,"Аварии (катастрофы) на автодорогах (на транспорте, перевозящем опасные грузы) ",2015-04-22 17:46:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2015-04-23 07:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-23 19:00:00
Куединский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-23 21:10:00
Александровский МО ,Аварии на электроэнергетических системах ,2015-04-25 07:00:00
Оханский ГО ,Аварии на электроэнергетических системах ,2015-04-25 14:50:00
Пермский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2015-04-25 14:52:00
Оханский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-27 00:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-27 18:30:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2015-04-28 04:21:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-29 09:00:00
Очерский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-04-29 21:30:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2015-04-29 22:40:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-05-01 03:49:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-05-01 08:10:00
Пермский МО ,Аварии на электроэнергетических системах ,2015-05-01 09:50:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-01 11:05:00
Карагайский МО ,Пожары повышенного номера ,2015-05-01 18:25:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-05-02 10:20:00
Осинский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-03 07:00:00
Кудымкарский МО ,Половодье ,2015-05-04 16:00:00
Пермский МО ,Аварии на электроэнергетических системах ,2015-05-05 03:08:00
Бардымский МО ,Аварии на электроэнергетических системах ,2015-05-05 09:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-05 12:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-05 13:20:00
Кочевский МО ,Аварии на электроэнергетических системах ,2015-05-05 16:00:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-05-05 18:40:00
Гайнский МО,Аварии на электроэнергетических системах ,2015-05-05 20:10:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-07 08:45:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-07 11:00:00
Кишертский МО,Аварии на электроэнергетических системах ,2015-05-07 11:15:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-08 09:25:00
Верещагино ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-08 09:30:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2015-05-08 10:26:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2015-05-12 00:00:00
Чайковский ГО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2015-05-12 10:06:00
Кудымкарский МО ,Аварии на электроэнергетических системах ,2015-05-12 15:20:00
Пермский МО ,Загрязнения окружающей среды ,2015-05-12 19:59:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-05-13 09:30:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-13 09:40:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2015-05-14 15:06:00
Верещагино ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-14 21:48:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-14 22:00:00
Пермский МО ,Пожары повышенного номера ,2015-05-15 21:15:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-16 07:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-16 12:30:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2015-05-17 01:20:00
Карагайский МО ,Аварии на электроэнергетических системах ,2015-05-17 14:15:00
Кочевский МО ,Аварии на электроэнергетических системах ,2015-05-17 14:55:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-05-17 17:27:00
Пермский ГО ,Загрязнения окружающей среды ,2015-05-18 01:20:00
Кишертский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-18 10:10:00
Александровский МО ,"Внезапное обрушение зданий, сооружений, пород ",2015-05-18 14:45:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-19 09:00:00
Сивинский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2015-05-19 09:05:00
Большесосновский МО ,Аварии на электроэнергетических системах ,2015-05-19 10:00:00
Большесосновский МО ,Аварии на электроэнергетических системах ,2015-05-19 16:45:00
Верещагинский ГО,Аварии на электроэнергетических системах ,2015-05-19 22:55:00
Сивинский МО,Аварии на электроэнергетических системах ,2015-05-20 03:38:00
Чусовской ГО ,Пожар с гибелью 2-х и более человек ,2015-05-20 13:40:00
ГО город Березники ,Аварии на электроэнергетических системах ,2015-05-20 14:30:00
Куединский МО ,Аварии на электроэнергетических системах ,2015-05-20 19:20:00
