Район,Тип,Дата и время  пожара 
ГО город Березники ,Аварии с выбросом или сбросом (угрозой выброса) АХОВ ,2013-03-01 00:00:00
Горнозаводский ГО ,Пожар с гибелью 2-х и более человек ,2013-03-08 18:42:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2013-03-11 14:30:00
Куединский МО ,Пожар с гибелью 2-х и более человек ,2013-03-14 15:55:00
Большесосновский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-03-15 00:00:00
Большесосновский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-03-22 00:00:00
Соликамский ГО ,Пожар с гибелью 2-х и более человек ,2013-03-24 23:26:00
Чусовской ГО ,Пожар с гибелью 2-х и более человек ,2013-03-29 05:05:00
Кунгурский МО ,Пожар с гибелью 2-х и более человек ,2013-04-06 01:15:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-04-10 10:35:00
Кунгурский МО ,Пожар с гибелью 2-х и более человек ,2013-04-30 06:32:00
Кунгурский МО ,Пожар с гибелью 2-х и более человек ,2013-04-30 06:32:00
Куединский МО ,Аварии на электроэнергетических системах ,2013-05-03 08:25:00
Осинский ГО,Аварии на электроэнергетических системах ,2013-05-03 10:30:00
Пермский МО ,Аварии на электроэнергетических системах ,2013-05-03 10:30:00
Еловский МО,Аварии на электроэнергетических системах ,2013-05-03 10:30:00
Пермский ГО ,Пожары повышенного номера ,2013-05-04 09:05:00
Косинский МО,"Транспортные катастрофы и аварии на мостах, переправах, на ж/д переездах ",2013-05-06 05:33:00
Осинский ГО ,"Пожары на транспортных средствах (ж/д, водный, автомобильный, воздушный) ",2013-05-15 16:35:00
Кунгурский МО ,"Внезапное обрушение зданий, сооружений, пород ",2013-05-24 02:15:00
Кунгурский МО ,"Внезапное обрушение зданий, сооружений, пород ",2013-05-24 04:15:00
Кудымкарский МО ,Пожар с гибелью 2-х и более человек ,2013-05-24 07:47:00
Кудымкарский МО ,Пожар с гибелью 2-х и более человек ,2013-05-24 08:52:00
Нытвенский ГО ,Пожар с гибелью 2-х и более человек ,2013-05-25 05:12:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2013-05-25 23:50:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2013-05-26 13:50:00
Пермский ГО ,Опасные кишечные инфекции людей ,2013-05-30 14:55:00
Пермский ГО ,Пожары на объектах торговли ,2013-06-03 14:25:00
Краснокамский ГО ,Пожар с гибелью 2-х и более человек ,2013-06-07 03:45:00
Пермский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2013-06-07 09:18:00
Чердынский ГО,Аварии на электроэнергетических системах ,2013-06-12 15:45:00
Куединский МО ,Пожар с гибелью 2-х и более человек ,2013-06-18 20:43:00
Кунгурский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-06-19 00:00:00
Пермский ГО ,"Аварии на магистральных газо-, нефте-, продукто-проводах ",2013-06-25 21:00:00
Пермский МО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-06-30 18:30:00
Бардымский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-07-01 00:00:00
Чердынский ГО,Лесные пожары ,2013-07-03 14:30:00
Карагайский МО ,Крушения и аварии грузовых и пассажирских поездов ,2013-07-03 14:50:00
Чердынский ГО,Лесные пожары ,2013-07-03 15:15:00
Березовский МО ,Засуха ,2013-07-05 18:00:00
Чердынский ГО,Лесные пожары ,2013-07-06 00:00:00
Чердынский ГО,Засуха ,2013-07-10 00:00:00
Октябрьский ГО ,Засуха ,2013-07-10 18:45:00
Куединский МО ,Засуха ,2013-07-11 00:00:00
Кунгурский МО ,Засуха ,2013-07-11 00:00:00
Пермский МО ,Засуха ,2013-07-11 00:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2013-07-11 17:30:00
Оханский ГО ,Засуха ,2013-07-14 00:00:00
Гайнский МО,Лесные пожары ,2013-07-14 00:00:00
Верещагинский ГО,Засуха ,2013-07-15 00:00:00
Краснокамский ГО ,Лесные пожары ,2013-07-16 00:00:00
Суксунский ГО ,Пожар с гибелью 2-х и более человек ,2013-07-16 02:34:00
Бардымский МО ,Засуха ,2013-07-17 00:00:00
Пермский край ,Засуха ,2013-07-17 00:00:00
Нытвенский ГО ,Засуха ,2013-07-17 07:30:00
Соликамский ГО ,"Аварии на магистральных газо-, нефте-, продукто-проводах ",2013-07-19 20:10:00
Александровский МО ,Пожар с гибелью 2-х и более человек ,2013-07-21 00:55:00
Березовский МО ,Засуха ,2013-07-23 00:00:00
Чердынский ГО,Засуха ,2013-07-23 00:00:00
Октябрьский ГО ,Засуха ,2013-07-23 00:00:00
Пермский МО ,Отравления людей ,2013-07-24 20:07:00
Пермский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2013-07-30 15:00:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-08-02 02:50:00
Пермский ГО ,Крушения и аварии грузовых и пассажирских поездов ,2013-08-02 17:28:00
Гайнский МО,Лесные пожары ,2013-08-04 16:45:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2013-08-04 18:59:00
Пермский ГО ,"Пожары на магистральных газо-, нефте-, продуктопроводах ",2013-08-06 03:44:00
Гайнский МО,Лесные пожары ,2013-08-07 16:45:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-08-13 18:35:00
Чусовской ГО ,Засуха ,2013-08-19 00:00:00
Красновишерский ГО ,Лесные пожары ,2013-08-19 16:30:00
Бардымский МО ,Пожары повышенного номера ,2013-08-22 17:44:00
Куединский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-08-23 00:00:00
Октябрьский ГО ,Пожары на объектах торговли ,2013-08-25 02:40:00
Пермский ГО ,"Внезапное обрушение зданий, сооружений, пород ",2013-09-03 16:40:00
Нытвенский ГО ,Засуха ,2013-09-04 12:30:00
Пермский ГО ,"Пожары на магистральных газо-, нефте-, продуктопроводах ",2013-09-06 01:44:00
Верещагинский ГО,"Аварии (катастрофы) на автодорогах (на транспорте, перевозящем опасные грузы) ",2013-09-10 12:41:00
Большесосновский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-09-13 00:00:00
Гайнский МО,Лесные пожары ,2013-09-18 18:00:00
Пермский ГО ,Особо опасные болезни сельскохозяйственных животных ,2013-09-19 00:00:00
Гайнский МО,Лесные пожары ,2013-09-20 00:00:00
Гайнский МО,Лесные пожары ,2013-09-20 00:00:00
Бардымский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-09-24 00:00:00
Лысьвенский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2013-09-30 11:17:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2013-10-01 15:20:00
Куединский МО ,Аварии на электроэнергетических системах ,2013-10-01 21:30:00
Чайковский ГО ,Пожар с гибелью 2-х и более человек ,2013-10-05 00:20:00
Оханский ГО ,Особо опасные болезни сельскохозяйственных животных ,2013-10-08 00:00:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2013-10-14 06:00:00
Пермский ГО ,Особо опасные болезни сельскохозяйственных животных ,2013-10-16 00:00:00
Пермский ГО ,Отравления людей ,2013-10-18 19:30:00
Пермский МО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-10-21 10:37:00
Юрлинский МО ,Пожар с гибелью 2-х и более человек ,2013-10-25 22:28:00
Пермский ГО ,"Пожары на транспортных средствах (ж/д, водный, автомобильный, воздушный) ",2013-10-30 21:01:00
Нытвенский ГО ,Пожар с гибелью 2-х и более человек ,2013-11-08 00:50:00
Нытвенский ГО ,Пожар с гибелью 2-х и более человек ,2013-11-09 00:50:00
ГО город Кизел ,Пожар с гибелью 2-х и более человек ,2013-11-12 23:07:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-11-13 07:40:00
Пермский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-11-14 00:00:00
Сивинский МО,Особо опасные болезни сельскохозяйственных животных ,2013-11-14 00:00:00
Верещагино ГО ,"Внезапное обрушение зданий, сооружений, пород ",2013-11-14 03:40:00
Пермский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2013-11-17 14:00:00
Верещагинский ГО,Особо опасные болезни сельскохозяйственных животных ,2013-11-20 00:00:00
Краснокамский ГО ,Особо опасные болезни сельскохозяйственных животных ,2013-11-20 00:00:00
Чернушинский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2013-11-27 16:30:00
Чусовской ГО ,"Аварии на магистральных газо-, нефте-, продукто-проводах ",2013-11-28 13:30:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-12-03 08:50:00
Кунгурский МО ,Особо опасные болезни сельскохозяйственных животных ,2013-12-06 00:00:00
Добрянский ГО ,Пожар с гибелью 2-х и более человек ,2013-12-11 12:10:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-12-11 14:55:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2013-12-16 17:30:00
Соликамский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-12-19 16:55:00
Кудымкарский МО ,Пожар с гибелью 2-х и более человек ,2013-12-22 03:20:00
Лысьвенский ГО ,Пожар с гибелью 2-х и более человек ,2013-12-26 00:20:00
Лысьвенский ГО ,Пожар с гибелью 2-х и более человек ,2013-12-27 00:20:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-12-31 06:50:00
Пермский ГО ,"Пожары на социально-значимых объектах (образования, культуры, здравоохранения и др.) ",2013-12-31 06:50:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2014-01-01 00:10:00
Куединский МО ,Аварии на электроэнергетических системах ,2014-01-01 00:20:00
Косинский МО,Аварии на электроэнергетических системах ,2014-01-01 01:20:00
Добрянский ГО ,Аварии на электроэнергетических системах ,2014-01-01 02:15:00
Кочевский МО ,Аварии на электроэнергетических системах ,2014-01-01 03:12:00
Губахинский МО ,Аварии на электроэнергетических системах ,2014-01-01 05:49:00
Осинский ГО ,Аварии на электроэнергетических системах ,2014-01-01 07:50:00
ГО город Кизел ,Аварии на электроэнергетических системах ,2014-01-01 09:00:00
Косинский МО,Аварии на электроэнергетических системах ,2014-01-01 09:11:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-01-01 11:10:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-01 13:36:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-01 14:00:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2014-01-01 15:00:00
Куединский МО ,Аварии на электроэнергетических системах ,2014-01-01 16:00:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-01-01 23:17:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2014-01-01 23:30:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2014-01-01 23:30:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2014-01-02 01:50:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-01-02 07:33:00
Кочевский МО ,Аварии на электроэнергетических системах ,2014-01-02 10:40:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2014-01-02 12:20:00
Еловский МО ,Аварии на электроэнергетических системах ,2014-01-02 14:20:00
Ильинский ГО ,Аварии на электроэнергетических системах ,2014-01-03 09:00:00
Соликамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-03 10:45:00
Пермский МО ,Аварии на электроэнергетических системах ,2014-01-03 21:30:00
Большесосновский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-04 05:00:00
Куединский МО ,Аварии на электроэнергетических системах ,2014-01-04 08:10:00
Еловский МО ,Аварии на электроэнергетических системах ,2014-01-04 08:50:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-05 05:05:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-05 10:33:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-05 11:00:00
Кунгурский МО ,"Внезапное обрушение зданий, сооружений, пород ",2014-01-05 11:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-05 16:45:00
Пермский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-05 22:00:00
Кудымкарский МО ,Аварии на электроэнергетических системах ,2014-01-05 22:29:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2014-01-05 22:30:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-06 05:05:00
Косинский МО,Аварии на электроэнергетических системах ,2014-01-06 08:55:00
Очерский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-06 13:10:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-06 14:42:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-01-06 15:46:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-01-06 16:02:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-07 13:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-07 16:15:00
ГО город Березники ,Аварии на электроэнергетических системах ,2014-01-08 10:30:00
Губахинский МО ,Аварии на электроэнергетических системах ,2014-01-08 14:00:00
Уинский МО ,Аварии на электроэнергетических системах ,2014-01-08 15:25:00
Губахинский МО ,Аварии на электроэнергетических системах ,2014-01-08 20:05:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2014-01-08 20:18:00
Еловский МО ,Аварии на электроэнергетических системах ,2014-01-08 21:15:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2014-01-08 21:19:00
Губахинский МО ,Аварии на электроэнергетических системах ,2014-01-08 21:20:00
Александровский МО ,Аварии на электроэнергетических системах ,2014-01-08 22:10:00
Пермский МО ,Аварии на электроэнергетических системах ,2014-01-08 23:00:00
Пермский ГО ,Аварии на электроэнергетических системах ,2014-01-08 23:00:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-09 01:00:00
Губахинский МО ,Аварии на электроэнергетических системах ,2014-01-09 09:25:00
ГО город Березники ,Аварии на электроэнергетических системах ,2014-01-09 10:20:00
Губахинский МО ,Аварии на электроэнергетических системах ,2014-01-09 12:23:00
Куединский МО ,Аварии на электроэнергетических системах ,2014-01-09 13:20:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2014-01-09 14:36:00
Карагайский МО ,Особо опасные болезни сельскохозяйственных животных ,2014-01-10 00:00:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2014-01-10 05:00:00
Губахинский МО ,Аварии на электроэнергетических системах ,2014-01-10 06:00:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2014-01-10 13:05:00
Чердынский ГО,Пожар с гибелью 2-х и более человек ,2014-01-11 19:57:00
Кудымкарский МО ,Аварии на электроэнергетических системах ,2014-01-12 09:00:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2014-01-12 10:44:00
Чайковский ГО ,Аварии на электроэнергетических системах ,2014-01-12 11:25:00
Пермский МО ,Аварии на электроэнергетических системах ,2014-01-12 17:30:00
Краснокамский ГО ,Аварии на электроэнергетических системах ,2014-01-12 17:51:00
Чусовской ГО ,Аварии на электроэнергетических системах ,2014-01-12 18:55:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2014-01-12 19:00:00
Куединский МО ,Аварии на электроэнергетических системах ,2014-01-12 19:30:00
Губахинский МО ,Аварии на электроэнергетических системах ,2014-01-12 19:50:00
Уинский МО ,Аварии на электроэнергетических системах ,2014-01-12 21:50:00
Чусовской ГО ,Аварии на электроэнергетических системах ,2014-01-12 21:50:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2014-01-12 22:50:00
Частинский МО ,Особо опасные болезни сельскохозяйственных животных ,2014-01-13 00:00:00
Очерский ГО ,Особо опасные болезни сельскохозяйственных животных ,2014-01-13 00:00:00
Губахинский МО ,Аварии на электроэнергетических системах ,2014-01-13 00:10:00
Еловский МО ,Аварии на электроэнергетических системах ,2014-01-13 08:00:00
Добрянский ГО ,Аварии на электроэнергетических системах ,2014-01-13 13:01:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-13 13:30:00
Пермский ГО ,Пожары повышенного номера ,2014-01-13 20:20:00
Куединский МО ,Аварии на электроэнергетических системах ,2014-01-14 04:05:00
Чернушинский ГО ,Аварии на электроэнергетических системах ,2014-01-14 06:20:00
Бардымский МО ,Аварии на электроэнергетических системах ,2014-01-14 07:05:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-01-14 08:20:00
Соликамский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-14 17:15:00
Косинский МО,Аварии на электроэнергетических системах ,2014-01-14 21:50:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-01-15 03:25:00
Кочевский МО ,Аварии на электроэнергетических системах ,2014-01-15 04:25:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-01-15 05:00:00
Чернушинский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-15 07:30:00
Уинский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-15 09:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-15 10:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-15 11:00:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2014-01-15 11:40:00
Уинский МО ,Аварии на электроэнергетических системах ,2014-01-15 19:30:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-16 00:05:00
Пермский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2014-01-16 00:14:00
Горнозаводский ГО ,Аварии на электроэнергетических системах ,2014-01-16 09:47:00
Пермский ГО ,"Пожары на транспортных средствах (ж/д, водный, автомобильный, воздушный) ",2014-01-16 11:05:00
Горнозаводский ГО ,Аварии на электроэнергетических системах ,2014-01-16 22:20:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2014-01-16 23:35:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2014-01-17 01:35:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-17 08:15:00
Сивинский МО,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-17 08:26:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-17 08:26:00
Краснокамский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-17 09:45:00
Горнозаводский ГО ,Аварии на электроэнергетических системах ,2014-01-17 12:20:00
Александровский МО ,Аварии на электроэнергетических системах ,2014-01-17 14:20:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2014-01-18 16:35:00
Октябрьский ГО ,Аварии на электроэнергетических системах ,2014-01-19 11:15:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2014-01-20 01:25:00
Бардымский МО ,Аварии на электроэнергетических системах ,2014-01-20 09:30:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-21 07:00:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-01-21 10:08:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-21 14:10:00
Пермский ГО ,Аварии на электроэнергетических системах ,2014-01-21 19:00:00
ГО город Березники ,Аварии на электроэнергетических системах ,2014-01-21 19:50:00
Куединский МО ,Аварии на электроэнергетических системах ,2014-01-21 20:10:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-21 23:37:00
Горнозаводский ГО ,Аварии на электроэнергетических системах ,2014-01-22 01:10:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2014-01-22 01:10:00
Горнозаводский ГО ,Аварии на электроэнергетических системах ,2014-01-22 01:20:00
Пермский ГО ,Пожары повышенного номера ,2014-01-22 05:30:00
Краснокамский ГО ,Пожар с гибелью 2-х и более человек ,2014-01-22 14:16:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-23 08:00:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-23 08:15:00
Юсьвинский МО ,Аварии на электроэнергетических системах ,2014-01-23 16:04:00
Частинский МО ,Особо опасные болезни сельскохозяйственных животных ,2014-01-24 00:00:00
Александровский МО ,Аварии на электроэнергетических системах ,2014-01-24 06:00:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2014-01-24 06:40:00
Соликамский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-24 09:30:00
Нытвенский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-25 09:20:00
Губахинский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2014-01-25 09:21:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-27 07:40:00
Александровский МО ,Аварии на электроэнергетических системах ,2014-01-27 13:25:00
Карагайский МО ,Аварии на электроэнергетических системах ,2014-01-27 13:50:00
Юсьвинский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-27 18:32:00
Александровский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-29 03:00:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-01-29 08:00:00
Кишертский МО,"Пожары на транспортных средствах (ж/д, водный, автомобильный, воздушный) ",2014-01-30 00:52:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2014-01-30 17:00:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-01-31 08:50:00
Чердынский ГО,Аварии на электроэнергетических системах ,2014-01-31 17:20:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-02-01 04:30:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2014-02-01 10:00:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2014-02-01 11:38:00
Пермский ГО ,Пожары на объектах торговли ,2014-02-01 11:40:00
Пермский ГО ,Пожар с гибелью 2-х и более человек ,2014-02-01 13:40:00
Пермский ГО ,Пожары повышенного номера ,2014-02-02 01:05:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-02-02 11:43:00
Соликамский ГО ,Пожары повышенного номера ,2014-02-02 11:50:00
ГО город Березники ,Пожары повышенного номера ,2014-02-02 13:23:00
Красновишерский ГО ,Аварии на электроэнергетических системах ,2014-02-02 17:00:00
Пермский ГО ,Аварии на электроэнергетических системах ,2014-02-02 17:58:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-02-02 20:50:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-02-03 10:20:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-02-03 10:20:00
Октябрьский ГО ,Крушения и аварии грузовых и пассажирских поездов ,2014-02-04 09:20:00
Сивинский МО,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-02-04 09:22:00
Куединский МО ,Пожары на объектах сельскохозяйственного назначения ,2014-02-05 02:26:00
Юрлинский МО ,Аварии на электроэнергетических системах ,2014-02-05 04:55:00
Лысьвенский ГО ,Аварии на электроэнергетических системах ,2014-02-05 08:30:00
Кудымкарский МО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-02-05 09:00:00
Лысьвенский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-02-05 13:30:00
Гайнский МО,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2014-02-05 16:42:00
Большесосновский МО ,Особо опасные болезни сельскохозяйственных животных ,2014-02-06 00:00:00
Кунгурский МО ,Аварии на коммунальных системах жизнеобеспечения Газоснабжение,2014-02-06 12:50:00
Пермский ГО ,Пожары на объектах торговли ,2014-02-06 20:05:00
Пермский ГО ,Абразия ,2014-02-08 10:09:00
Соликамский ГО ,Аварии на электроэнергетических системах ,2014-02-08 15:40:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-02-08 17:25:00
Пермский МО ,Пожар с гибелью 2-х и более человек ,2014-02-09 01:50:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения Теплоснабжение,2014-02-10 09:10:00
Пермский ГО ,Аварии на коммунальных системах жизнеобеспечения ХВС,2014-02-10 12:13:00
Пермский МО ,Пожары повышенного номера ,2014-02-10 14:20:00
Сивинский МО,Особо опасные болезни сельскохозяйственных животных ,2014-02-11 00:00:00
Пермский МО ,Особо опасные болезни сельскохозяйственных животных ,2014-02-12 00:00:00
Осинский ГО ,Особо опасные болезни сельскохозяйственных животных ,2014-02-12 00:00:00
Соликамский ГО ,"Крупные ДТП (повреждение 10 и более а/м, ДТП с тяжкими последствиями) ",2014-02-12 07:45:00
Пермский ГО ,Пожары повышенного номера ,2014-02-12 10:17:00
Гайнский МО,Аварии на электроэнергетических системах ,2014-02-13 10:01:00
